      10, 0.302, 0.288, 0.301, 0.297, 0.287, 0.284, 0.292, 0.294, 0.295, 0.301, 0.300, 0.295, 0.297, 0.300, 0.288, 0.296, 0.298, 0.285, 0.296, 0.283, 0.299, 0.295, 0.295, 0.295, 0.292, 0.296, 0.303, 0.304, 0.297, 0.296, 0.288, 0.303, 0.299, 0.280, 0.295, 0.287, 0.298, 0.301, 0.297, 0.303, 0.293, 0.285, 0.294, 0.300, 0.291, 0.304, 0.301, 0.294, 0.291, 0.301
      20, 0.293, 0.272, 0.290, 0.282, 0.280, 0.278, 0.283, 0.276, 0.279, 0.290, 0.278, 0.286, 0.284, 0.293, 0.271, 0.285, 0.289, 0.272, 0.283, 0.276, 0.284, 0.282, 0.277, 0.283, 0.281, 0.281, 0.293, 0.286, 0.284, 0.287, 0.276, 0.294, 0.288, 0.272, 0.288, 0.274, 0.277, 0.287, 0.283, 0.299, 0.285, 0.274, 0.276, 0.280, 0.282, 0.291, 0.291, 0.287, 0.280, 0.294
      30, 0.289, 0.267, 0.284, 0.278, 0.278, 0.274, 0.281, 0.270, 0.274, 0.286, 0.278, 0.278, 0.270, 0.286, 0.264, 0.285, 0.279, 0.267, 0.275, 0.271, 0.274, 0.276, 0.267, 0.277, 0.279, 0.275, 0.286, 0.274, 0.284, 0.283, 0.266, 0.287, 0.277, 0.268, 0.275, 0.264, 0.272, 0.287, 0.285, 0.289, 0.278, 0.270, 0.267, 0.269, 0.277, 0.276, 0.284, 0.278, 0.277, 0.285
      40, 0.282, 0.268, 0.280, 0.275, 0.282, 0.273, 0.280, 0.271, 0.260, 0.290, 0.275, 0.272, 0.267, 0.280, 0.262, 0.277, 0.278, 0.264, 0.278, 0.270, 0.269, 0.272, 0.264, 0.273, 0.273, 0.267, 0.284, 0.271, 0.280, 0.287, 0.269, 0.284, 0.267, 0.267, 0.276, 0.259, 0.270, 0.282, 0.275, 0.283, 0.270, 0.268, 0.268, 0.269, 0.272, 0.274, 0.279, 0.276, 0.276, 0.283
      50, 0.278, 0.261, 0.272, 0.275, 0.280, 0.267, 0.277, 0.265, 0.262, 0.285, 0.270, 0.262, 0.265, 0.272, 0.259, 0.275, 0.267, 0.264, 0.275, 0.268, 0.269, 0.271, 0.264, 0.271, 0.269, 0.264, 0.278, 0.265, 0.280, 0.282, 0.270, 0.280, 0.261, 0.264, 0.270, 0.263, 0.265, 0.279, 0.271, 0.276, 0.268, 0.266, 0.270, 0.262, 0.265, 0.268, 0.275, 0.269, 0.276, 0.277
      60, 0.273, 0.269, 0.271, 0.274, 0.276, 0.270, 0.272, 0.267, 0.262, 0.286, 0.268, 0.270, 0.258, 0.268, 0.259, 0.265, 0.264, 0.265, 0.268, 0.264, 0.268, 0.269, 0.262, 0.269, 0.270, 0.263, 0.269, 0.266, 0.277, 0.283, 0.262, 0.274, 0.259, 0.262, 0.267, 0.261, 0.262, 0.276, 0.267, 0.281, 0.264, 0.268, 0.268, 0.262, 0.269, 0.269, 0.271, 0.273, 0.273, 0.276
      70, 0.269, 0.264, 0.268, 0.276, 0.273, 0.271, 0.266, 0.263, 0.257, 0.284, 0.267, 0.263, 0.258, 0.262, 0.257, 0.267, 0.263, 0.264, 0.272, 0.269, 0.266, 0.273, 0.261, 0.268, 0.270, 0.261, 0.265, 0.265, 0.270, 0.280, 0.263, 0.267, 0.259, 0.266, 0.264, 0.261, 0.262, 0.265, 0.268, 0.277, 0.265, 0.265, 0.268, 0.262, 0.266, 0.266, 0.264, 0.271, 0.269, 0.272
      80, 0.266, 0.263, 0.267, 0.268, 0.277, 0.269, 0.265, 0.261, 0.261, 0.281, 0.265, 0.265, 0.257, 0.266, 0.258, 0.268, 0.261, 0.266, 0.269, 0.265, 0.269, 0.271, 0.260, 0.266, 0.266, 0.263, 0.270, 0.264, 0.267, 0.276, 0.264, 0.269, 0.254, 0.266, 0.261, 0.261, 0.259, 0.266, 0.267, 0.276, 0.263, 0.268, 0.267, 0.259, 0.263, 0.267, 0.261, 0.266, 0.267, 0.274
      90, 0.268, 0.261, 0.262, 0.266, 0.272, 0.268, 0.267, 0.264, 0.261, 0.282, 0.267, 0.265, 0.259, 0.259, 0.257, 0.268, 0.260, 0.262, 0.266, 0.264, 0.264, 0.266, 0.258, 0.264, 0.272, 0.260, 0.265, 0.263, 0.263, 0.272, 0.267, 0.271, 0.251, 0.263, 0.260, 0.259, 0.261, 0.264, 0.266, 0.276, 0.265, 0.264, 0.266, 0.262, 0.264, 0.264, 0.264, 0.264, 0.266, 0.271
     100, 0.269, 0.266, 0.261, 0.260, 0.273, 0.268, 0.265, 0.264, 0.259, 0.285, 0.262, 0.263, 0.256, 0.262, 0.254, 0.267, 0.257, 0.264, 0.267, 0.265, 0.264, 0.269, 0.257, 0.267, 0.262, 0.259, 0.269, 0.261, 0.258, 0.269, 0.264, 0.265, 0.253, 0.265, 0.259, 0.254, 0.264, 0.262, 0.265, 0.272, 0.263, 0.264, 0.265, 0.261, 0.265, 0.266, 0.262, 0.265, 0.266, 0.273
     110, 0.278, 0.281, 0.258, 0.284, 0.284, 0.284, 0.265, 0.277, 0.292, 0.272, 0.289, 0.272, 0.251, 0.264, 0.262, 0.275, 0.285, 0.281, 0.290, 0.282, 0.256, 0.280, 0.260, 0.289, 0.266, 0.259, 0.283, 0.293, 0.250, 0.294, 0.290, 0.276, 0.249, 0.291, 0.279, 0.277, 0.275, 0.279, 0.285, 0.259, 0.267, 0.262, 0.274, 0.260, 0.292, 0.281, 0.291, 0.291, 0.272, 0.281
     120, 0.272, 0.274, 0.262, 0.271, 0.283, 0.280, 0.266, 0.278, 0.282, 0.263, 0.283, 0.262, 0.254, 0.262, 0.264, 0.271, 0.281, 0.272, 0.281, 0.278, 0.262, 0.277, 0.259, 0.287, 0.261, 0.262, 0.280, 0.285, 0.255, 0.292, 0.289, 0.275, 0.257, 0.280, 0.269, 0.257, 0.271, 0.277, 0.276, 0.261, 0.260, 0.263, 0.264, 0.263, 0.280, 0.278, 0.283, 0.287, 0.264, 0.272
