       0, 0.005,-0.001,-0.005, 0.015, 0.012,-0.000,-0.006, 0.001, 0.009,-0.006, 0.002, 0.000, 0.005,-0.011,-0.003, 0.000, 0.001, 0.002,-0.004,-0.003, 0.008,-0.001,-0.004,-0.004,-0.002, 0.007, 0.002,-0.003, 0.007, 0.003,-0.001,-0.003,-0.012,-0.009, 0.010, 0.001,-0.007,-0.005, 0.007,-0.009, 0.005,-0.002,-0.003, 0.005, 0.007,-0.001,-0.004, 0.007,-0.002, 0.003
      10, 0.001,-0.003, 0.000, 0.010,-0.005,-0.009,-0.021,-0.014, 0.002, 0.007,-0.009,-0.010,-0.005, 0.006,-0.016,-0.009, 0.010, 0.002, 0.005, 0.014, 0.005,-0.001, 0.010, 0.004,-0.003,-0.006,-0.004, 0.009,-0.018, 0.010,-0.001, 0.006, 0.004, 0.005, 0.006,-0.035, 0.007,-0.003,-0.008, 0.003, 0.007, 0.003,-0.000,-0.015,-0.001,-0.025, 0.003, 0.005, 0.006, 0.003
      20,-0.005,-0.002,-0.001, 0.005, 0.003,-0.012,-0.005,-0.009, 0.017, 0.002, 0.007, 0.003,-0.007, 0.028,-0.014,-0.016, 0.004,-0.001, 0.014, 0.025,-0.002,-0.008, 0.006,-0.004, 0.007, 0.000,-0.012, 0.028,-0.033, 0.017, 0.002, 0.009,-0.003, 0.017, 0.007,-0.052, 0.020,-0.010,-0.002,-0.007, 0.003, 0.008, 0.010,-0.019,-0.002,-0.006,-0.007,-0.004, 0.007, 0.006
      30,-0.001,-0.010,-0.002, 0.010, 0.001,-0.011,-0.013,-0.005, 0.019, 0.001, 0.004,-0.013,-0.008, 0.020,-0.015, 0.028,-0.001, 0.002, 0.003, 0.026,-0.006,-0.000,-0.010, 0.007,-0.004,-0.003,-0.014, 0.038,-0.032, 0.010, 0.003, 0.012,-0.027, 0.006, 0.011,-0.045, 0.011, 0.007,-0.000,-0.002, 0.015, 0.006, 0.000,-0.018,-0.004,-0.008,-0.019,-0.010, 0.023, 0.000
      40,-0.006,-0.014,-0.017, 0.015,-0.004, 0.004,-0.012,-0.004, 0.022, 0.017, 0.007,-0.010,-0.005, 0.021,-0.002,-0.002, 0.004, 0.005, 0.003, 0.004,-0.011,-0.002, 0.002, 0.005, 0.001,-0.008,-0.019, 0.036,-0.021, 0.017,-0.008,-0.002,-0.050,-0.001,-0.001,-0.052, 0.010, 0.020,-0.003, 0.005, 0.011, 0.006, 0.003,-0.008, 0.002,-0.015,-0.024,-0.001, 0.013, 0.005
      50, 0.007, 0.001, 0.001, 0.010,-0.002, 0.007,-0.015,-0.012,-0.011, 0.004, 0.009,-0.009,-0.008, 0.029,-0.008,-0.003, 0.014, 0.002,-0.008,-0.005, 0.001,-0.006,-0.011,-0.005,-0.000,-0.010,-0.017, 0.041,-0.018, 0.007,-0.010,-0.016,-0.069, 0.007,-0.009,-0.037,-0.001, 0.007,-0.005,-0.007,-0.003,-0.004, 0.008,-0.017, 0.001,-0.031,-0.017, 0.005, 0.013, 0.005
      60, 0.007,-0.001,-0.002, 0.007,-0.015, 0.001,-0.007,-0.019,-0.036,-0.003, 0.010,-0.013,-0.002, 0.022,-0.003,-0.004, 0.012, 0.005, 0.002,-0.018, 0.012,-0.004,-0.003,-0.009, 0.000, 0.011,-0.006, 0.051,-0.021, 0.013,-0.005, 0.012,-0.065, 0.001,-0.001,-0.048,-0.001, 0.013,-0.001,-0.010, 0.005,-0.002, 0.009, 0.001,-0.022,-0.014,-0.010, 0.027, 0.013,-0.005
      70, 0.001, 0.010,-0.014, 0.010, 0.007,-0.000, 0.002,-0.021,-0.021,-0.020, 0.010, 0.002,-0.011, 0.027, 0.001,-0.014, 0.004, 0.009, 0.002,-0.022, 0.011,-0.005,-0.002,-0.005, 0.001, 0.000,-0.000, 0.047,-0.012, 0.025,-0.002,-0.003,-0.031, 0.024,-0.011,-0.043,-0.004, 0.006, 0.002,-0.006, 0.014,-0.015, 0.006,-0.005,-0.010,-0.015,-0.009, 0.012, 0.004,-0.003
      80, 0.004, 0.010,-0.004, 0.012, 0.002, 0.003,-0.004,-0.017,-0.012,-0.016, 0.018,-0.001,-0.007, 0.022, 0.020,-0.006, 0.011, 0.008,-0.003, 0.006, 0.009,-0.002,-0.003,-0.002,-0.002, 0.015,-0.021, 0.063, 0.003, 0.017, 0.000,-0.006,-0.044, 0.037,-0.019,-0.038,-0.008,-0.002,-0.002,-0.012, 0.010,-0.009, 0.016,-0.001,-0.020,-0.018, 0.002,-0.004, 0.002,-0.007
      90,-0.009, 0.009,-0.014, 0.020, 0.001, 0.009, 0.005,-0.019,-0.008,-0.010, 0.016,-0.001,-0.008, 0.031, 0.018,-0.013, 0.005, 0.012,-0.013,-0.004, 0.010,-0.000, 0.003,-0.002,-0.002, 0.012,-0.016, 0.070,-0.003, 0.018,-0.008,-0.001,-0.049, 0.037,-0.009,-0.013,-0.002, 0.005,-0.007,-0.014, 0.008,-0.004, 0.013, 0.010, 0.003,-0.013, 0.006, 0.004, 0.005,-0.010
     100,-0.010, 0.024, 0.001, 0.010, 0.005, 0.001, 0.015, 0.001,-0.012,-0.003, 0.013,-0.002, 0.000, 0.012, 0.004, 0.008,-0.028,-0.006, 0.008,-0.003, 0.012, 0.009,-0.007,-0.010, 0.001, 0.013,-0.008, 0.047,-0.010,-0.013,-0.009, 0.021,-0.032, 0.005,-0.001,-0.013,-0.001,-0.017,-0.003,-0.002,-0.009,-0.002, 0.020,-0.022,-0.008,-0.029, 0.016, 0.003, 0.013,-0.007
     110,-0.003, 0.012,-0.004, 0.008, 0.003,-0.003, 0.014, 0.027,-0.032, 0.014, 0.028,-0.002, 0.004, 0.001, 0.007, 0.003,-0.005, 0.006, 0.045, 0.001,-0.004, 0.016, 0.005, 0.001,-0.005, 0.006,-0.017, 0.027,-0.011,-0.026,-0.011, 0.018,-0.062,-0.002, 0.008, 0.047,-0.003,-0.011,-0.010, 0.003,-0.007, 0.002, 0.003,-0.030,-0.013,-0.052, 0.008,-0.002, 0.015, 0.008
     120,-0.001, 0.007,-0.007, 0.008,-0.001,-0.003, 0.004, 0.053,-0.036, 0.017, 0.030, 0.000, 0.007,-0.011, 0.008, 0.011,-0.007, 0.010, 0.057, 0.009, 0.003, 0.014, 0.014, 0.011, 0.002, 0.008,-0.020, 0.020,-0.022,-0.018,-0.009,-0.002,-0.061,-0.019, 0.013, 0.018,-0.001,-0.013,-0.008,-0.008,-0.008, 0.020,-0.006,-0.013,-0.012,-0.032, 0.010, 0.003,-0.002, 0.008
     130,-0.012,-0.001,-0.006, 0.012, 0.005,-0.006,-0.011, 0.067,-0.034, 0.011, 0.041, 0.001, 0.011,-0.002,-0.002, 0.024,-0.036, 0.005, 0.031,-0.006, 0.005,-0.000, 0.014,-0.012,-0.001,-0.006,-0.017, 0.018,-0.034, 0.003, 0.001,-0.004,-0.062,-0.007,-0.008, 0.016, 0.004, 0.004,-0.014,-0.001,-0.007, 0.015,-0.007,-0.023,-0.019,-0.028, 0.009,-0.004, 0.010, 0.009
     140,-0.010, 0.014, 0.005, 0.030, 0.010, 0.002,-0.005, 0.059,-0.024, 0.010, 0.040,-0.011, 0.013, 0.018,-0.007, 0.006,-0.027,-0.000, 0.027, 0.006, 0.010, 0.006, 0.021,-0.003, 0.002,-0.012,-0.014,-0.008,-0.052, 0.003,-0.010, 0.000,-0.051,-0.000, 0.001, 0.031, 0.007,-0.008,-0.016, 0.003, 0.010, 0.012,-0.006,-0.013,-0.027,-0.028, 0.007, 0.005, 0.022, 0.000
     150,-0.008, 0.017,-0.003, 0.031, 0.004, 0.000, 0.001, 0.061,-0.022, 0.017, 0.052,-0.008, 0.016, 0.005,-0.014, 0.003,-0.036,-0.002, 0.018, 0.011, 0.012, 0.005, 0.016,-0.010,-0.015, 0.000,-0.014, 0.007,-0.043,-0.011,-0.021,-0.006,-0.049, 0.000, 0.000, 0.035,-0.001,-0.002,-0.022, 0.006, 0.001, 0.016,-0.005,-0.013,-0.030,-0.019, 0.003, 0.012, 0.011,-0.006
     160,-0.003,-0.012, 0.019, 0.023,-0.006,-0.010,-0.006, 0.065,-0.023, 0.012, 0.045, 0.008, 0.007, 0.009,-0.021, 0.013,-0.046, 0.004, 0.016, 0.002, 0.006,-0.002, 0.009,-0.003,-0.016,-0.015,-0.008, 0.014,-0.040, 0.015,-0.004, 0.022,-0.046,-0.001, 0.000, 0.049, 0.001,-0.004,-0.014, 0.016,-0.012, 0.014, 0.003,-0.015,-0.033,-0.024, 0.008, 0.018, 0.006, 0.006
     170,-0.006,-0.003, 0.025, 0.015,-0.015,-0.007,-0.010, 0.065,-0.020, 0.018, 0.036, 0.006, 0.009,-0.000,-0.004, 0.005,-0.055, 0.007, 0.033, 0.007, 0.013, 0.001, 0.011, 0.002,-0.011,-0.025,-0.017,-0.006,-0.036, 0.000, 0.012, 0.020,-0.044, 0.023,-0.004, 0.048, 0.002, 0.003,-0.016,-0.003, 0.022, 0.014,-0.004,-0.019,-0.037,-0.027, 0.015, 0.017, 0.017, 0.002
     180,-0.012,-0.004, 0.015, 0.019,-0.006, 0.001, 0.004, 0.065,-0.031, 0.008, 0.053, 0.006,-0.001, 0.004,-0.004, 0.007,-0.043,-0.001, 0.034,-0.005, 0.001,-0.001, 0.008, 0.005,-0.004,-0.026,-0.013,-0.002,-0.026, 0.011, 0.012, 0.021,-0.048, 0.018,-0.002, 0.046, 0.000,-0.006,-0.016, 0.003, 0.008, 0.005,-0.008,-0.027,-0.035,-0.035, 0.020, 0.011, 0.015,-0.004
     190,-0.004,-0.013, 0.006, 0.032,-0.002,-0.002, 0.010, 0.052,-0.032, 0.006, 0.035, 0.003,-0.000, 0.015,-0.011,-0.007,-0.066, 0.015, 0.029, 0.002, 0.014,-0.004, 0.019, 0.016,-0.002,-0.018,-0.017,-0.003,-0.054, 0.016, 0.019, 0.016,-0.021, 0.020,-0.004, 0.045,-0.004,-0.015,-0.012, 0.004, 0.001, 0.022, 0.005,-0.021,-0.027,-0.022, 0.025, 0.009, 0.011,-0.009
