       0, 0.361, 0.379, 0.338, 0.357, 0.311, 0.340, 0.340, 0.380, 0.363, 0.332, 0.304, 0.362, 0.347, 0.308, 0.339, 0.314, 0.292, 0.327, 0.308, 0.376, 0.357, 0.344, 0.341, 0.312, 0.327, 0.346, 0.355, 0.351, 0.398, 0.308, 0.324, 0.316, 0.354, 0.370, 0.316, 0.352, 0.337, 0.339, 0.312, 0.330, 0.383, 0.337, 0.348, 0.342, 0.352, 0.354, 0.341, 0.328, 0.366, 0.336
      10, 0.421, 0.552, 0.441, 0.337, 0.242, 0.226, 0.526, 0.448, 0.530, 0.470, 0.392, 0.429, 0.303, 0.400, 0.388, 0.346, 0.315, 0.284, 0.353, 0.530, 0.357, 0.271, 0.309, 0.291, 0.230, 0.260, 0.437, 0.476, 0.592, 0.353, 0.226, 0.434, 0.518, 0.605, 0.392, 0.617, 0.264, 0.440, 0.294, 0.404, 0.420, 0.378, 0.288, 0.396, 0.558, 0.457, 0.444, 0.422, 0.457, 0.358
      20, 0.397, 0.578, 0.457, 0.271, 0.230, 0.214, 0.524, 0.464, 0.570, 0.494, 0.347, 0.456, 0.292, 0.427, 0.334, 0.339, 0.291, 0.221, 0.333, 0.570, 0.334, 0.228, 0.324, 0.242, 0.202, 0.241, 0.417, 0.513, 0.616, 0.370, 0.196, 0.468, 0.584, 0.634, 0.416, 0.670, 0.232, 0.467, 0.261, 0.434, 0.449, 0.345, 0.219, 0.400, 0.553, 0.431, 0.506, 0.449, 0.455, 0.328
      30, 0.370, 0.596, 0.449, 0.261, 0.220, 0.202, 0.526, 0.489, 0.594, 0.510, 0.336, 0.474, 0.282, 0.444, 0.312, 0.382, 0.274, 0.204, 0.320, 0.599, 0.335, 0.221, 0.341, 0.207, 0.196, 0.250, 0.403, 0.525, 0.634, 0.348, 0.166, 0.501, 0.637, 0.652, 0.427, 0.667, 0.211, 0.480, 0.223, 0.482, 0.481, 0.348, 0.180, 0.428, 0.509, 0.398, 0.538, 0.452, 0.455, 0.293
      40, 0.345, 0.623, 0.448, 0.271, 0.198, 0.187, 0.514, 0.490, 0.609, 0.526, 0.352, 0.474, 0.287, 0.439, 0.298, 0.425, 0.247, 0.202, 0.320, 0.602, 0.333, 0.226, 0.350, 0.194, 0.178, 0.264, 0.389, 0.523, 0.640, 0.361, 0.164, 0.533, 0.667, 0.647, 0.456, 0.672, 0.188, 0.527, 0.181, 0.520, 0.504, 0.354, 0.182, 0.443, 0.496, 0.365, 0.562, 0.446, 0.457, 0.288
      50, 0.317, 0.634, 0.408, 0.271, 0.203, 0.183, 0.488, 0.478, 0.614, 0.532, 0.354, 0.485, 0.282, 0.420, 0.312, 0.466, 0.210, 0.193, 0.324, 0.605, 0.330, 0.222, 0.363, 0.187, 0.164, 0.283, 0.386, 0.515, 0.649, 0.382, 0.153, 0.545, 0.682, 0.651, 0.495, 0.675, 0.175, 0.570, 0.179, 0.526, 0.505, 0.339, 0.189, 0.458, 0.478, 0.354, 0.597, 0.446, 0.459, 0.299
      60, 0.317, 0.635, 0.371, 0.289, 0.206, 0.185, 0.426, 0.475, 0.630, 0.542, 0.367, 0.495, 0.277, 0.403, 0.318, 0.484, 0.207, 0.174, 0.329, 0.611, 0.353, 0.220, 0.367, 0.173, 0.155, 0.291, 0.379, 0.515, 0.681, 0.400, 0.151, 0.556, 0.700, 0.643, 0.493, 0.679, 0.172, 0.602, 0.177, 0.537, 0.515, 0.337, 0.181, 0.469, 0.460, 0.346, 0.627, 0.438, 0.460, 0.295
      70, 0.333, 0.623, 0.366, 0.307, 0.220, 0.186, 0.387, 0.472, 0.640, 0.549, 0.365, 0.492, 0.267, 0.392, 0.338, 0.495, 0.216, 0.179, 0.327, 0.627, 0.359, 0.203, 0.368, 0.175, 0.148, 0.304, 0.384, 0.504, 0.694, 0.421, 0.143, 0.574, 0.710, 0.646, 0.505, 0.677, 0.183, 0.609, 0.174, 0.544, 0.506, 0.334, 0.183, 0.478, 0.454, 0.352, 0.629, 0.433, 0.459, 0.298
      80, 0.332, 0.629, 0.364, 0.326, 0.214, 0.182, 0.381, 0.467, 0.646, 0.556, 0.369, 0.495, 0.260, 0.383, 0.339, 0.497, 0.214, 0.188, 0.333, 0.632, 0.365, 0.191, 0.367, 0.179, 0.148, 0.301, 0.378, 0.502, 0.709, 0.443, 0.142, 0.593, 0.707, 0.649, 0.503, 0.693, 0.194, 0.609, 0.176, 0.546, 0.505, 0.353, 0.181, 0.477, 0.449, 0.357, 0.636, 0.435, 0.443, 0.304
      90, 0.337, 0.624, 0.366, 0.336, 0.224, 0.166, 0.372, 0.467, 0.643, 0.544, 0.363, 0.496, 0.247, 0.374, 0.342, 0.512, 0.219, 0.190, 0.336, 0.631, 0.362, 0.180, 0.359, 0.177, 0.165, 0.303, 0.388, 0.502, 0.715, 0.462, 0.142, 0.587, 0.709, 0.652, 0.507, 0.700, 0.196, 0.619, 0.176, 0.543, 0.496, 0.362, 0.183, 0.475, 0.451, 0.350, 0.648, 0.441, 0.443, 0.313
